index,originId,destId,count,delaycount
440,10466,10408,198,28
441,10466,10620,213,36
442,10466,10627,283,31
443,10466,10666,138,17
444,10466,10713,103,11
445,10466,10849,129,23
446,10466,11003,204,16
447,10466,11193,80,24
448,10466,11423,180,67
449,10466,11603,121,18
450,10466,11637,333,30
451,10466,11648,73,6
452,10466,11721,106,29
453,10466,11775,314,21
454,10466,11823,66,10
455,10466,11884,98,10
456,10466,11898,61,5
457,10466,11980,115,15
458,10466,11986,194,28
459,10466,12003,65,7
460,10466,12191,48,5
461,10466,12278,109,15
462,10466,12280,217,18
463,10466,12889,10,2
464,10466,13264,5,1
465,10466,13367,92,13
466,10466,13433,158,26
467,10466,13486,146,26
468,10466,13487,62,6
469,10466,13871,109,21
470,10466,14057,65,6
471,10466,14108,178,17
472,10466,14252,160,17
473,10466,14314,638,159
474,10466,14457,195,28
475,10466,14512,153,17
476,10466,14696,108,4
477,10466,14783,163,12
478,10466,15008,107,4
479,10466,15295,21,5
480,10466,15380,15,4
481,10466,15919,51,9
482,10469,11433,1005,162
483,10529,10397,2130,370
484,10529,10693,377,104
485,10529,10821,1687,291
486,10529,11057,1875,427
487,10529,11278,1975,409
488,10529,11292,823,161
489,10529,11298,590,158
490,10529,11433,1245,181
491,10529,11697,791,142
492,10529,12264,637,66
493,10529,12892,113,45
494,10529,12953,236,43
495,10529,13204,1888,494
496,10529,13232,792,141
497,10529,13303,482,52
498,10529,13487,893,138
499,10529,13577,266,61
500,10529,13930,2044,319
501,10529,14027,523,106
502,10529,14100,660,91
503,10529,14492,87,25
504,10529,14635,230,51
505,10529,14843,1000,456
506,10529,15304,958,234
507,10551,10299,726,187
508,10558,11292,627,90
509,10561,11292,541,62
510,10561,11298,462,86
511,10561,14107,1196,145
512,10561,14771,482,68
513,10577,11433,359,49
514,10577,12953,8,2
515,10581,11057,225,47
516,10581,11278,962,201
517,10581,11618,681,129
518,10581,11697,20,11
519,10581,12478,358,46
520,10581,12953,1057,158
521,10581,13930,350,81
522,10581,14082,90,13
523,10581,14100,468,102
524,10581,14112,196,53
525,10581,14761,229,58
526,10599,10397,2961,342
527,10599,10693,54,3
528,10599,10821,329,91
529,10599,11057,2276,473
530,10599,11259,929,203
531,10599,11278,996,164
532,10599,11292,1081,149
533,10599,11298,2321,534
534,10599,11433,504,105
535,10599,11697,73,22
536,10599,12191,469,91
537,10599,12266,289,62
538,10599,12889,367,102
539,10599,12953,1034,173
540,10599,13204,728,179
541,10599,13232,605,122
542,10599,13303,685,151
544,10599,13930,503,95
545,10599,14100,567,98
546,10599,14107,50,14
547,10599,15304,406,97
548,10617,11292,103,42
549,10617,14771,171,52
550,10620,10466,213,49
552,10620,11292,1405,185
553,10620,11298,643,109
554,10620,12889,126,44
555,10620,12892,26,11
556,10620,13487,425,44
557,10620,13930,124,26
558,10620,14107,149,9
559,10620,14869,1037,89
560,10627,10466,283,50
561,10627,11292,1266,233
562,10627,11298,602,105
563,10627,12889,120,29
564,10627,13487,1563,247
565,10627,14112,67,12
566,10627,14761,73,15
567,10631,13487,730,129
568,10666,10466,138,15
569,10666,11292,48,14
570,10666,12889,857,95
571,10666,12892,106,18
572,10666,13796,304,55
573,10666,14262,102,11
574,10666,14679,24,2
575,10666,14747,965,173
576,10676,11697,16,7
577,10676,12451,46,15
578,10676,12889,52,17
579,10676,13577,22,4
580,10676,14082,165,53
581,10676,14112,147,39
582,10676,14685,25,7
583,10676,14761,136,45
584,10676,14986,89,17
585,10676,15412,58,14
586,10676,15624,342,77
587,10685,10397,731,89
588,10685,11292,60,18
589,10685,11298,729,120
590,10685,14112,108,23
591,10685,14761,122,34
592,10693,10135,105,19
593,10693,10257,108,20
594,10693,10397,3700,474
595,10693,10408,136,19
596,10693,10423,3065,629
597,10693,10529,372,82
598,10693,10599,54,11
599,10693,10721,2767,676
600,10693,10792,240,57
601,10693,10800,390,89
602,10693,10821,1962,406
603,10693,10849,129,15
604,10693,10874,64,13
605,10693,10994,747,161
606,10693,11003,88,21
607,10693,11042,757,209
608,10693,11057,3674,873
609,10693,11066,753,187
610,10693,11193,210,41
611,10693,11259,2412,579
612,10693,11278,4132,688
613,10693,11292,4056,841
614,10693,11298,3587,1048
615,10693,11423,199,43
616,10693,11433,2247,395
617,10693,11481,1049,222
618,10693,11618,1998,439
619,10693,11637,110,20
620,10693,11697,2026,486
621,10693,11721,142,22
622,10693,11775,119,17
623,10693,11986,215,33
624,10693,11996,211,56
625,10693,12094,15,2
626,10693,12191,1737,374
627,10693,12264,1014,145
628,10693,12266,1995,368
629,10693,12451,966,205
630,10693,12478,2221,446
631,10693,12889,2046,555
632,10693,12892,2106,448
633,10693,12953,4371,835
634,10693,12954,369,95
635,10693,13198,1255,240
636,10693,13204,2907,714
637,10693,13230,95,18
638,10693,13232,1962,419
639,10693,13303,2531,635
640,10693,13342,772,181
641,10693,13360,38,7
642,10693,13487,1627,234
643,10693,13495,1322,279
644,10693,13577,586,119
645,10693,13796,270,112
646,10693,13851,234,54
647,10693,13871,240,39
648,10693,13891,187,44
649,10693,13930,4680,852
650,10693,13931,422,81
651,10693,14057,292,41
652,10693,14082,144,31
653,10693,14100,2795,703
654,10693,14107,2259,563
655,10693,14108,108,11
656,10693,14112,111,29
657,10693,14122,941,201
658,10693,14193,888,193
659,10693,14307,76,5
660,10693,14314,101,18
661,10693,14321,108,14
662,10693,14492,2331,441
663,10693,14512,50,7
664,10693,14524,318,57
665,10693,14635,617,176
666,10693,14679,875,223
667,10693,14683,745,152
668,10693,14685,713,138
669,10693,14747,1312,216
670,10693,14761,147,35
671,10693,14771,623,228
672,10693,14831,286,99
673,10693,14843,48,12
674,10693,14869,1012,119
675,10693,14893,225,62
676,10693,14908,18,3
677,10693,14986,643,131
678,10693,15016,1219,253
679,10693,15096,165,24
680,10693,15304,2274,555
681,10693,15624,875,181
682,10693,15919,107,14
683,10713,10397,474,107
684,10713,10466,103,17
685,10713,10800,440,73
686,10713,11259,9,4
687,10713,11292,2800,401
688,10713,11298,830,170
689,10713,11884,857,110
690,10713,12889,1683,328
691,10713,12892,1557,130
692,10713,12954,41,9
693,10713,13487,812,138
694,10713,13796,669,104
695,10713,13930,610,67
696,10713,14057,1040,105
697,10713,14107,1704,267
698,10713,14679,705,117
699,10713,14747,3711,442
700,10713,14771,1479,322
701,10713,14831,597,87
702,10713,14869,1672,255
703,10713,14893,874,153
704,10713,14908,188,44
705,10721,10154,209,42
706,10721,10397,5028,1119
707,10721,10423,1443,323
708,10721,10431,214,44
709,10721,10693,2766,602
710,10721,10792,929,201
711,10721,10821,4053,870
712,10721,10849,90,24
713,10721,10994,1260,281
714,10721,11042,1712,313
715,10721,11057,5214,988
716,10721,11066,1800,267
717,10721,11193,2022,333
718,10721,11259,39,9
719,10721,11278,9657,1757
720,10721,11292,3792,798
721,10721,11298,4059,953
722,10721,11433,2741,648
723,10721,11481,13,2
724,10721,11618,4362,885
725,10721,11624,196,47
726,10721,11697,3172,927
727,10721,11986,87,12
728,10721,12094,32,9
729,10721,12124,26,4
730,10721,12173,258,62
731,10721,12264,1463,197
732,10721,12266,1983,424
733,10721,12323,184,30
734,10721,12339,1982,260
735,10721,12451,1217,240
736,10721,12478,5577,1148
737,10721,12889,1606,286
738,10721,12892,4655,994
739,10721,12953,7770,1336
740,10721,13198,707,122
741,10721,13204,4846,1527
742,10721,13232,1402,391
743,10721,13244,582,126
744,10721,13303,3788,709
745,10721,13342,854,149
746,10721,13485,14,3
747,10721,13487,2162,425
748,10721,13495,897,167
749,10721,13541,83,13
750,10721,13577,703,161
751,10721,13930,6932,1253
752,10721,13931,412,93
753,10721,14027,2002,581
754,10721,14057,669,192
755,10721,14100,5262,1066
756,10721,14107,2150,457
757,10721,14122,2207,473
758,10721,14231,118,31
759,10721,14492,3013,628
760,10721,14524,1722,324
761,10721,14635,2220,616
762,10721,14679,1511,275
763,10721,14683,335,72
764,10721,14685,612,126
765,10721,14730,693,50
766,10721,14747,2581,558
767,10721,14771,4446,1175
768,10721,14831,126,37
769,10721,14843,2040,652
770,10721,14869,1299,301
771,10721,14893,83,45
772,10721,14986,440,82
773,10721,15016,1591,320
774,10721,15024,114,19
775,10721,15096,363,116
776,10721,15304,2630,746
777,10721,15380,117,11
778,10721,15412,111,13
779,10721,15624,27,5
780,10728,11298,730,105
781,10731,10397,795,147
782,10732,11618,366,111
783,10732,11697,349,74
784,10732,12478,627,150
785,10732,13204,917,266
786,10732,15304,187,58
787,10739,13487,649,95
788,10747,11298,1643,278
789,10747,12266,319,63
790,10754,10299,364,115
791,10779,14869,690,40
792,10781,10397,1515,219
793,10781,11057,957,231
794,10781,11278,307,34
795,10781,11298,1969,458
796,10781,12266,166,38
798,10785,10397,366,32
799,10785,11057,728,136
800,10785,11278,1382,273
801,10785,11292,157,37
802,10785,11298,19,5
803,10785,11433,358,74
804,10785,11618,950,145
805,10785,12264,612,48
806,10785,12478,732,105
807,10785,12953,960,167
808,10785,13487,122,28
809,10785,13930,969,137
810,10785,14100,753,142
812,10785,15304,5,1
813,10792,10397,1338,285
814,10792,10693,240,39
815,10792,10721,929,155
816,10792,10821,1672,275
817,10792,11057,1271,303
818,10792,11259,9,2
819,10792,11278,1194,214
820,10792,11292,459,104
821,10792,11298,511,82
822,10792,11433,1311,238
823,10792,11618,780,132
