origin,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
HOB,100,6,444,28,12,14,8,2,5,3,0,3,2,0,3,2,1,2,15
HOU,13460,698,57058,5467,2724,1510,935,617,439,326,267,190,161,139,125,113,78,73,296
HPN,2300,211,12332,622,390,267,175,140,105,91,70,45,61,45,43,20,31,16,179
HRL,698,42,4305,254,142,69,37,40,29,20,13,8,13,13,7,14,5,8,26
HSV,1777,133,8896,589,301,193,126,92,77,84,55,38,41,33,21,20,19,9,79
HTS,178,14,426,50,30,16,25,12,4,4,6,4,1,5,1,1,3,2,14
HYA,63,9,269,12,7,6,4,4,5,4,4,3,1,2,0,1,0,1,9
HYS,79,13,670,12,10,5,5,3,5,5,5,4,2,4,1,1,2,1,14
IAD,8338,716,52891,2902,1380,841,574,482,353,286,259,187,139,135,108,100,74,61,457
IAG,122,8,383,49,20,9,8,6,3,3,5,1,2,1,2,0,3,1,9
IAH,27693,2354,115940,8289,4619,3182,2374,1860,1379,1066,863,662,535,426,368,309,262,248,1251
ICT,1674,115,10276,467,313,204,138,101,79,65,43,37,30,24,16,18,17,14,108
IDA,484,17,3430,125,88,54,40,31,17,17,19,6,13,4,5,9,3,3,50
ILM,1345,141,8069,394,234,157,113,92,50,65,36,41,34,19,13,13,13,10,61
IMT,117,9,729,28,9,11,4,8,4,9,8,2,1,3,4,4,3,0,19
IND,7695,632,47758,2729,1320,845,625,447,336,251,210,160,123,96,88,66,56,53,290
INL,105,8,653,29,13,9,2,9,7,6,2,6,3,0,1,4,1,4,9
ISP,1087,92,4777,382,192,115,80,57,43,33,35,30,16,17,16,8,10,4,49
ITH,90,24,810,17,7,9,9,10,5,1,4,6,4,1,3,2,2,1,9
ITO,693,60,6757,394,116,55,46,31,17,11,10,3,3,0,1,2,0,1,3
JAC,1163,85,5625,336,180,115,89,82,60,39,24,29,25,17,12,17,9,20,109
JAN,1199,86,6867,395,204,144,71,52,58,52,22,25,17,28,13,10,18,13,77
JAX,5607,469,30218,1782,1010,677,438,301,250,180,163,113,96,86,63,60,50,48,290
JFK,24445,2293,123348,7577,4318,2862,2005,1505,1206,881,750,572,418,373,327,237,201,185,1028
JLN,100,12,627,19,14,7,8,6,1,8,4,3,1,3,4,1,1,3,17
JMS,77,35,615,22,8,8,5,0,8,2,2,2,4,5,2,0,0,2,7
JNU,658,86,4738,251,118,84,50,26,24,11,14,12,10,6,6,5,10,7,24
JST,133,17,731,25,19,14,6,7,13,5,6,3,3,1,1,1,1,3,25
KOA,1814,184,16327,835,343,159,113,77,45,46,27,23,22,17,11,13,13,5,65
KTN,391,46,2515,165,71,43,25,18,19,17,6,2,3,1,3,2,1,0,15
LAN,280,18,1298,66,37,35,29,22,13,14,4,13,7,7,6,7,3,1,16
LAR,83,23,627,16,10,12,8,9,7,3,5,3,1,0,1,0,0,3,5
LAS,44155,1670,189252,16559,8617,5395,3502,2497,1774,1301,938,700,570,407,344,237,194,144,976
LAW,168,37,1086,35,20,26,12,10,8,11,3,6,4,2,8,3,2,2,16
LAX,34704,1581,194053,12115,6513,4098,2710,1974,1408,1227,885,619,505,382,343,281,203,161,1280
LBB,1004,93,6190,314,155,142,79,56,48,34,30,11,16,16,15,10,10,4,64
LBE,92,14,576,28,18,11,6,6,5,3,2,5,2,1,2,0,0,0,3
LBF,73,12,628,24,9,6,8,4,4,0,3,0,0,1,1,1,3,0,9
LBL,92,20,566,25,20,7,7,5,7,2,4,2,0,0,1,2,1,2,7
LCH,195,27,1086,33,24,23,9,13,6,3,8,8,5,3,4,4,6,10,36
LCK,232,24,958,61,40,27,26,17,12,13,2,5,3,5,2,3,1,2,13
LEX,1575,121,9138,467,281,180,107,95,78,55,47,40,26,29,17,24,12,10,107
LFT,585,67,3255,163,71,57,56,24,30,29,23,21,13,14,11,3,7,10,53
LGA,28489,3846,162432,8479,4886,3341,2320,1809,1437,1058,887,725,547,473,397,321,268,224,1317
LGB,2933,91,17650,1244,545,341,211,158,109,64,62,43,41,24,15,14,12,13,37
LIH,1781,148,15957,851,348,196,100,77,44,28,21,18,15,13,14,12,5,5,34
LIT,2413,130,12657,810,413,275,213,143,98,83,57,44,40,33,35,24,20,8,117
LNK,325,13,1863,71,68,34,27,22,10,10,14,13,6,5,3,7,7,2,26
LRD,326,28,1795,96,53,30,27,17,12,14,8,9,11,7,5,2,2,6,27
LSE,47,6,332,16,7,3,3,2,4,3,2,1,0,1,1,0,0,1,3
LWS,120,6,1097,37,17,9,9,6,7,3,4,0,0,0,2,1,2,3,20
MAF,1582,126,9481,496,271,190,116,89,80,48,49,38,32,21,22,14,14,14,88
MBS,410,31,2210,81,66,41,41,32,23,20,15,17,4,12,7,6,6,3,36
MCI,8430,591,49869,3215,1547,920,582,416,332,252,195,143,124,106,83,72,65,54,324
MCO,38451,2910,159553,12710,6957,4437,3000,2288,1725,1311,1021,881,723,559,446,373,318,263,1439
MCW,121,23,627,18,20,15,9,10,7,6,3,5,2,4,4,1,0,2,15
MDT,982,62,5367,292,183,101,85,44,37,46,28,17,22,18,9,12,6,15,67
MDW,19238,930,79633,8020,3881,2203,1355,862,687,507,359,284,223,189,128,94,83,66,297
MEI,91,19,627,22,16,4,11,7,4,5,3,2,2,0,0,3,1,2,9
MEM,3770,306,22624,1277,652,457,283,209,143,133,96,69,51,46,61,32,22,22,217
MFE,887,86,4684,219,128,97,72,63,45,36,33,27,25,16,21,12,12,11,70
MFR,668,45,4369,205,114,66,62,37,34,22,21,16,8,9,7,5,5,4,53
MGM,504,39,2627,159,84,56,47,29,20,16,15,4,4,9,8,6,3,6,38
MGW,15,NA,NA,3,1,0,0,1,0,1,2,0,0,0,0,0,0,3,4
MHK,131,16,981,48,20,10,8,10,4,6,4,3,0,6,2,0,0,3,7
MHT,959,62,5650,333,176,102,64,52,40,30,29,15,18,18,16,4,7,5,50
MIA,29304,1878,109944,8905,5365,3621,2524,1883,1354,1047,777,611,504,384,326,270,216,167,1350
MKE,4836,402,28694,1543,879,558,371,266,218,159,115,99,95,93,52,49,52,43,244
MLB,416,43,2813,128,65,58,29,25,19,15,12,13,12,7,5,1,6,2,19
MLI,747,85,4282,189,138,79,64,41,38,28,21,23,14,12,14,7,10,10,59
MLU,338,26,2024,88,51,33,25,26,18,9,14,12,5,6,3,7,12,5,24
MOB,382,37,2604,117,73,41,40,18,18,8,7,7,4,7,5,6,5,0,26
MOT,391,35,2376,97,70,55,18,25,15,14,10,7,4,5,8,3,6,8,46
MQT,156,9,847,44,29,19,12,8,7,8,4,3,3,2,2,2,1,1,11
MRY,753,42,4688,199,144,98,63,45,28,25,22,8,12,13,10,14,10,3,59
MSN,1944,157,11789,511,309,227,157,122,97,89,79,44,43,38,28,31,18,14,137
MSO,716,49,4170,232,124,78,55,48,28,22,17,12,12,13,5,4,7,7,52
MSP,22029,1122,126779,7285,4125,2761,1812,1260,989,764,595,437,361,257,224,169,158,109,723
MSY,10859,725,50173,3898,1989,1257,802,545,420,342,250,217,184,143,117,86,84,72,453
MTJ,565,27,2856,177,112,57,53,30,21,27,22,9,5,9,6,4,6,2,25
MVY,227,52,1075,57,39,20,19,9,12,7,7,6,7,11,1,3,2,3,24
MYR,2889,326,16010,893,511,319,251,172,139,124,85,59,60,45,22,30,28,24,127
OAJ,254,21,1797,71,33,22,24,16,9,14,12,10,6,3,4,1,3,6,20
