dest,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
OTH,81,4,346,24,18,10,6,4,4,2,3,1,3,2,1,1,0,0,2
OTZ,37,20,366,10,3,8,7,0,2,1,1,1,1,0,0,0,0,0,3
PAE,197,32,1072,71,38,33,18,9,8,4,1,7,2,1,2,2,0,0,1
PBG,71,17,500,21,12,10,6,4,5,4,1,3,1,0,0,1,1,0,2
PBI,7106,504,29475,2201,1291,844,592,455,340,244,199,185,125,109,85,59,63,45,269
PDX,11886,729,59595,4498,2276,1416,884,713,459,366,284,191,161,117,103,75,55,47,241
PGD,1522,120,6339,470,252,173,112,88,50,53,44,40,31,22,17,13,15,13,129
PHL,21362,1708,100619,6514,3815,2548,1706,1238,1024,701,615,516,365,285,237,217,175,163,1243
PHX,37388,1308,193542,13506,7094,4369,2826,2054,1493,1079,823,636,549,429,326,281,216,178,1529
PIA,734,68,3744,204,129,110,66,47,36,25,18,18,21,14,9,8,6,7,16
PIB,110,14,627,16,15,15,18,8,5,8,6,3,0,3,2,2,0,2,7
PIE,1898,227,8304,552,327,196,130,131,89,64,62,48,39,30,24,20,17,17,152
PIH,52,NA,NA,18,7,3,4,2,3,2,2,0,1,0,1,1,0,0,8
PIT,9233,660,43831,3129,1731,1083,738,567,382,324,272,209,164,106,75,80,61,51,261
PLN,187,14,845,40,28,21,23,17,11,16,2,8,5,2,1,0,2,1,10
PNS,2902,146,13363,951,581,343,241,163,121,100,67,56,57,36,28,37,23,10,88
PPG,27,NA,NA,17,3,0,3,1,1,0,0,0,0,0,0,0,0,0,2
PQI,30,1,118,9,5,3,3,5,2,1,0,1,0,0,0,0,0,0,1
PRC,138,5,731,29,26,15,8,8,7,6,7,3,3,3,2,2,2,1,16
PSC,844,21,5236,303,164,96,59,62,40,30,23,17,12,8,7,2,3,3,15
PSE,313,17,947,91,57,47,27,19,22,8,11,6,2,7,3,3,2,1,7
PSG,115,4,726,45,21,16,11,3,6,2,1,2,0,1,0,1,0,3,3
PSM,43,7,372,13,9,5,3,1,0,2,1,1,0,2,1,1,1,0,3
PSP,2732,124,13808,1005,568,331,210,164,112,80,72,43,31,32,13,22,12,6,31
PVD,3426,165,14850,1219,689,370,269,159,149,99,83,55,67,53,32,24,22,23,113
PVU,537,18,2188,172,94,56,33,37,24,13,16,11,10,9,12,5,1,6,38
PWM,2262,246,11676,797,413,274,193,129,107,58,61,47,25,21,21,15,10,4,87
RAP,890,52,5233,287,169,91,88,78,37,33,24,13,14,8,4,5,6,2,31
